epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3085.1,0.82168,0.68169,1.11327,0.93052,0.92721,0.95385,0.76531,0.82825,0.49873,1.08344,0.0005941,0.0005941,0.0005941
43,3161.16,0.81206,0.66916,1.10599,0.94123,0.93947,0.9585,0.77046,0.82386,0.46948,1.06644,0.0005842,0.0005842,0.0005842
44,3237.83,0.80744,0.6624,1.10632,0.94081,0.92854,0.95487,0.7558,0.83645,0.49726,1.07856,0.0005743,0.0005743,0.0005743
45,3312.75,0.80439,0.64901,1.0922,0.94817,0.90382,0.94835,0.76719,0.82322,0.49319,1.07571,0.0005644,0.0005644,0.0005644
46,3388.11,0.7982,0.64731,1.0929,0.92317,0.92943,0.95175,0.76014,0.8235,0.49073,1.06744,0.0005545,0.0005545,0.0005545
47,3472.28,0.79946,0.6415,1.09175,0.94612,0.93588,0.95427,0.76683,0.80879,0.47586,1.06052,0.0005446,0.0005446,0.0005446
48,3564.14,0.78951,0.63377,1.09119,0.94955,0.92196,0.95275,0.75814,0.83001,0.46789,1.08211,0.0005347,0.0005347,0.0005347
49,3646.01,0.78141,0.6245,1.08806,0.95489,0.91585,0.95751,0.76708,0.83077,0.48061,1.08708,0.0005248,0.0005248,0.0005248
50,3723.22,0.77896,0.62042,1.08143,0.9558,0.92902,0.95955,0.76941,0.82072,0.47172,1.0727,0.0005149,0.0005149,0.0005149
51,3824.24,0.76497,0.61557,1.07582,0.92688,0.94142,0.95142,0.76237,0.81483,0.46575,1.07249,0.000505,0.000505,0.000505
52,3917.69,0.77091,0.6056,1.07687,0.94741,0.91438,0.95671,0.76716,0.81849,0.47098,1.06357,0.0004951,0.0004951,0.0004951
53,4011.19,0.76267,0.59482,1.08012,0.9559,0.92381,0.95418,0.772,0.80284,0.45622,1.06441,0.0004852,0.0004852,0.0004852
54,4121.68,0.75629,0.60298,1.0738,0.95096,0.91995,0.94979,0.75934,0.83154,0.47494,1.08605,0.0004753,0.0004753,0.0004753
55,4226.5,0.75333,0.57701,1.07069,0.92783,0.94161,0.95766,0.7777,0.81112,0.44274,1.06397,0.0004654,0.0004654,0.0004654
56,4389.7,0.75329,0.58773,1.07053,0.93837,0.93025,0.95207,0.76504,0.83008,0.45765,1.08406,0.0004555,0.0004555,0.0004555
57,4553.97,0.744,0.57648,1.06522,0.95001,0.90434,0.94717,0.7616,0.82505,0.45374,1.07338,0.0004456,0.0004456,0.0004456
58,4742.7,0.73471,0.57832,1.05887,0.96328,0.93207,0.95794,0.77786,0.80107,0.4381,1.05761,0.0004357,0.0004357,0.0004357
59,4880.74,0.73518,0.56945,1.05666,0.94169,0.92692,0.9541,0.77319,0.81843,0.45603,1.07037,0.0004258,0.0004258,0.0004258
60,4978.46,0.7256,0.56598,1.05396,0.95784,0.91939,0.95093,0.77009,0.81153,0.45571,1.07608,0.0004159,0.0004159,0.0004159
61,5062.02,0.73323,0.57679,1.0571,0.91891,0.92741,0.94635,0.76774,0.80707,0.48183,1.07131,0.000406,0.000406,0.000406
62,5152.99,0.71557,0.55077,1.05181,0.95385,0.91376,0.95562,0.77728,0.81487,0.45282,1.06719,0.0003961,0.0003961,0.0003961
63,5267.21,0.72417,0.56069,1.05453,0.93999,0.92269,0.95056,0.76683,0.81708,0.46073,1.06812,0.0003862,0.0003862,0.0003862
64,5371.65,0.70149,0.53402,1.04345,0.92243,0.92702,0.95228,0.77212,0.80731,0.46437,1.06579,0.0003763,0.0003763,0.0003763
65,5464.08,0.71598,0.54126,1.04765,0.93597,0.94153,0.95579,0.77431,0.81004,0.43468,1.06762,0.0003664,0.0003664,0.0003664
66,5588.62,0.69432,0.5336,1.03755,0.95874,0.92412,0.95402,0.77274,0.81783,0.44254,1.07013,0.0003565,0.0003565,0.0003565
67,5758.87,0.71083,0.53407,1.04383,0.9509,0.93131,0.95838,0.77453,0.81378,0.44624,1.07175,0.0003466,0.0003466,0.0003466
68,5864.87,0.69797,0.53603,1.03876,0.95297,0.9245,0.95808,0.7752,0.82588,0.4479,1.08471,0.0003367,0.0003367,0.0003367
69,5975.06,0.67647,0.51177,1.02947,0.95551,0.91817,0.96102,0.78172,0.8097,0.42727,1.07095,0.0003268,0.0003268,0.0003268
70,6057.33,0.67587,0.50763,1.03134,0.95285,0.92486,0.95932,0.78101,0.80663,0.43269,1.07412,0.0003169,0.0003169,0.0003169
71,6147.28,0.67625,0.51591,1.03068,0.93988,0.92916,0.95244,0.78102,0.80625,0.43759,1.07021,0.000307,0.000307,0.000307
72,6247.62,0.68133,0.5105,1.03044,0.95795,0.93036,0.95927,0.78104,0.80463,0.43869,1.07077,0.0002971,0.0002971,0.0002971
73,6351.73,0.67555,0.5042,1.0297,0.9587,0.92438,0.9542,0.77486,0.79925,0.43467,1.07431,0.0002872,0.0002872,0.0002872
74,6446.06,0.66262,0.5035,1.02808,0.94477,0.93559,0.95328,0.77442,0.81095,0.44661,1.08038,0.0002773,0.0002773,0.0002773
75,6568.59,0.65516,0.48468,1.01943,0.94342,0.9464,0.95804,0.78152,0.7992,0.43401,1.07428,0.0002674,0.0002674,0.0002674
76,6686.41,0.65961,0.49588,1.02165,0.94153,0.93578,0.95439,0.78026,0.80521,0.43666,1.07086,0.0002575,0.0002575,0.0002575
77,6809.06,0.64319,0.48529,1.01467,0.95583,0.93905,0.95643,0.77922,0.80582,0.4233,1.07562,0.0002476,0.0002476,0.0002476
78,6958.98,0.65017,0.49093,1.01602,0.95369,0.94304,0.95667,0.77946,0.81214,0.43701,1.08293,0.0002377,0.0002377,0.0002377
79,7103.85,0.64842,0.47956,1.01579,0.94801,0.93718,0.95743,0.78117,0.80811,0.44208,1.08038,0.0002278,0.0002278,0.0002278
80,7206.96,0.64752,0.48341,1.01604,0.95065,0.93384,0.95884,0.77998,0.80317,0.43496,1.07001,0.0002179,0.0002179,0.0002179
81,7312.6,0.63806,0.47978,1.01107,0.95157,0.93081,0.95897,0.77742,0.81062,0.43861,1.07791,0.000208,0.000208,0.000208
82,7466.42,0.6304,0.4716,1.00499,0.95597,0.92971,0.95764,0.77779,0.80407,0.42517,1.07959,0.0001981,0.0001981,0.0001981
83,7558.19,0.63016,0.46151,1.00055,0.95363,0.9383,0.95768,0.78037,0.80635,0.43843,1.07768,0.0001882,0.0001882,0.0001882
84,7658.78,0.63337,0.46643,1.00274,0.95871,0.93361,0.95681,0.78048,0.80229,0.4345,1.07615,0.0001783,0.0001783,0.0001783
85,7750.08,0.62404,0.46369,1.0074,0.95912,0.93136,0.95637,0.78068,0.80277,0.43736,1.07588,0.0001684,0.0001684,0.0001684
86,7921.93,0.61823,0.45126,0.99767,0.96045,0.93618,0.96081,0.78603,0.79737,0.41885,1.07216,0.0001585,0.0001585,0.0001585
87,8099.91,0.61384,0.44103,0.9983,0.95686,0.93812,0.96147,0.78998,0.79599,0.41676,1.07251,0.0001486,0.0001486,0.0001486
88,8230.1,0.61181,0.45033,0.99828,0.95953,0.94085,0.9625,0.78526,0.80534,0.41574,1.07904,0.0001387,0.0001387,0.0001387
89,8325.61,0.60807,0.44178,0.99586,0.9588,0.94201,0.9629,0.7835,0.80835,0.42169,1.08306,0.0001288,0.0001288,0.0001288
90,8407.99,0.60346,0.43776,0.99059,0.96108,0.94173,0.96322,0.78868,0.81024,0.41994,1.08652,0.0001189,0.0001189,0.0001189
91,8525.1,0.48738,0.27432,0.91901,0.95637,0.94276,0.96272,0.78345,0.8138,0.41824,1.09247,0.000109,0.000109,0.000109
92,8614.07,0.47256,0.26038,0.91088,0.96321,0.93476,0.96275,0.78544,0.81184,0.42151,1.0861,9.91e-05,9.91e-05,9.91e-05
93,8701.42,0.46681,0.25853,0.91219,0.95557,0.93929,0.96025,0.78351,0.80973,0.42339,1.08543,8.92e-05,8.92e-05,8.92e-05
94,8797.77,0.45968,0.25403,0.90975,0.95769,0.93448,0.95993,0.78283,0.81233,0.42312,1.0891,7.93e-05,7.93e-05,7.93e-05
95,8883.75,0.45397,0.2511,0.90621,0.95514,0.93965,0.95982,0.78409,0.80813,0.4201,1.08628,6.94e-05,6.94e-05,6.94e-05
96,8976.53,0.44717,0.24449,0.90178,0.95474,0.9345,0.95765,0.78226,0.80565,0.4281,1.08692,5.95e-05,5.95e-05,5.95e-05
97,9065.65,0.45095,0.25028,0.90395,0.94754,0.93483,0.95862,0.78488,0.80399,0.43087,1.08639,4.96e-05,4.96e-05,4.96e-05
98,9153.97,0.43975,0.24015,0.90004,0.94361,0.93504,0.95751,0.7847,0.803,0.43393,1.08616,3.97e-05,3.97e-05,3.97e-05
99,9241.31,0.43443,0.23895,0.89692,0.94303,0.93377,0.95692,0.7859,0.8041,0.43677,1.08768,2.98e-05,2.98e-05,2.98e-05
100,9329.94,0.42939,0.24332,0.89509,0.93903,0.93537,0.95616,0.78528,0.80387,0.43929,1.08816,1.99e-05,1.99e-05,1.99e-05
